Date,"Ayr, ND","Alberta, MN","Jasper, MN","Ida Grove, IA","St. Joseph, MO",Barreirias,Sorriso,Rio Verde,Ponta Grossa,Rondonopolis
2013-01-02,-0.5350000000000001,-0.20500000000000007,-0.40499999999999936,-0.3349999999999991,0.08500000000000085,1.6550000000000011,-2.385,-1.2449999999999992,1.0549999999999997,-0.8049999999999997
2013-01-07,-0.5675000000000008,-0.47749999999999915,-0.4875000000000007,-0.3874999999999993,-0.007500000000000284,0.3125,-3.4674999999999994,-0.9075000000000006,0.6325000000000003,-2.1775
2013-01-08,-0.6174999999999997,-0.5274999999999999,-0.5374999999999996,-0.4375,-0.05749999999999922,-0.29749999999999943,-3.5175,-1.7974999999999994,-0.23749999999999893,-2.4674999999999994
2013-01-11,-0.8175000000000008,-0.7675000000000001,-0.7675000000000001,-0.6775000000000002,-0.2975000000000012,-0.01750000000000007,-3.6975,-1.727500000000001,-0.40750000000000064,-2.887500000000001
2013-01-14,-0.7174999999999994,-0.5675000000000008,-0.6675000000000004,-0.5775000000000006,-0.1974999999999998,-0.15750000000000064,-3.8774999999999995,-2.397500000000001,-0.6475000000000009,-2.7475000000000005
2013-01-15,-0.29499999999999993,-0.15499999999999936,-0.19500000000000028,-0.16499999999999915,0.245000000000001,-0.375,-3.3149999999999995,-1.6649999999999991,-0.19500000000000028,-2.254999999999999
2013-01-16,-0.29499999999999993,-0.10500000000000043,-0.19500000000000028,-0.16500000000000092,0.24499999999999922,-0.9049999999999994,-3.5649999999999995,-1.8849999999999998,-0.3949999999999996,-2.585000000000001
2013-01-17,-0.3025000000000002,-0.15249999999999986,-0.20250000000000057,-0.16249999999999964,0.2475000000000005,0.07750000000000057,-3.3424999999999994,-1.5824999999999996,-0.42249999999999943,-2.5725
2013-01-18,-0.3025000000000002,-0.15249999999999986,-0.20250000000000057,-0.16249999999999964,0.24749999999999872,0.027499999999999858,-3.262500000000001,-1.7125000000000004,-0.3025000000000002,-2.5025000000000013
2013-01-22,-0.29749999999999943,-0.15750000000000064,-0.1974999999999998,-0.16750000000000043,0.2524999999999995,-0.6675000000000004,-3.567500000000001,-1.8275000000000006,-0.39750000000000085,-2.6675000000000004
2013-01-23,-0.29999999999999893,-0.1999999999999993,-0.1999999999999993,-0.14999999999999858,0.25,-1.3999999999999986,-3.4299999999999997,-1.5999999999999996,-0.27999999999999936,-2.459999999999999
2013-01-24,-0.30249999999999844,-0.2024999999999988,-0.2024999999999988,-0.15249999999999986,0.2475000000000005,-1.2024999999999988,-3.5124999999999993,-1.6224999999999987,-0.41249999999999964,-2.7224999999999984
2013-01-25,-0.3000000000000007,-0.1999999999999993,-0.1999999999999993,-0.17999999999999972,0.25,-1.0999999999999996,-3.5299999999999994,-1.5700000000000003,-0.2900000000000009,-2.5700000000000003
2013-01-28,-0.29749999999999943,-0.20749999999999957,-0.1974999999999998,-0.17749999999999844,0.2525000000000013,-0.7874999999999996,-3.6374999999999993,-1.5574999999999992,-0.3974999999999991,-2.737499999999999
